Word,Count,Percentage of total,Cumulative percentage of total
βασιλικός,5,0.11,79.99
ἐπιεικής,5,0.11,80.1
ἐπίσκοπος,5,0.11,80.21
ἔντιμος,5,0.11,80.31
φωτεινός,5,0.11,80.42
ὀλιγόπιστος,5,0.11,80.53
Ἐφέσιος,5,0.11,80.63
πετρώδης,4,0.09,80.72
πρόσκαιρος,4,0.09,80.8
ἄτιμος,4,0.09,80.89
περίλυπος,4,0.09,80.98
χλωρός,4,0.09,81.06
πυκνός,4,0.09,81.15
κυλλός,4,0.09,81.23
ἀριστερός,4,0.09,81.32
μεσονύκτιος,4,0.09,81.4
συγκοινωνός,4,0.09,81.49
ψυχρός,4,0.09,81.58
γλυκύς,4,0.09,81.66
πορφύρεος,4,0.09,81.75
διπλόος,4,0.09,81.83
διάβολος,4,0.09,81.92
συνετός,4,0.09,82.0
σάρκινος,4,0.09,82.09
ἔνδοξος,4,0.09,82.17
πλεονέκτης,4,0.09,82.26
μαλακός,4,0.09,82.35
ἄγαμος,4,0.09,82.43
αἰσχρός,4,0.09,82.52
χοϊκός,4,0.09,82.6
διάφορος,4,0.09,82.69
ἀνυπότακτος,4,0.09,82.77
διηνεκής,4,0.09,82.86
γνήσιος,4,0.09,82.94
Ἑβραῖος,4,0.09,83.03
σκληρός,4,0.09,83.12
ὑπερήφανος,4,0.09,83.2
σκολιός,4,0.09,83.29
σεμνός,4,0.09,83.37
πολύτιμος,4,0.09,83.46
πάροικος,4,0.09,83.54
κακοῦργος,4,0.09,83.63
ὠφέλιμος,4,0.09,83.71
ἄτοπος,4,0.09,83.8
σώφρων,4,0.09,83.89
ὡραῖος,4,0.09,83.97
εὐλαβής,4,0.09,84.06
ἀνεκτός,4,0.09,84.14
σπόριμος,3,0.06,84.21
ἀπόκρυφος,3,0.06,84.27
δειλός,3,0.06,84.34
Γερασηνός,3,0.06,84.4
ἄλαλος,3,0.06,84.46
ἄσβεστος,3,0.06,84.53
λεπτός,3,0.06,84.59
πολυτελής,3,0.06,84.66
πρόθυμος,3,0.06,84.72
ἀχειροποίητος,3,0.06,84.78
δίστομος,3,0.06,84.85
ψευδής,3,0.06,84.91
ζεστός,3,0.06,84.98
ὑάλινος,3,0.06,85.04
μέλας,3,0.06,85.11
ἀργύρεος,3,0.06,85.17
λίθινος,3,0.06,85.23
εὐγενής,3,0.06,85.3
διδακτός,3,0.06,85.36
βιωτικός,3,0.06,85.43
ἑδραῖος,3,0.06,85.49
ἀπρόσκοπος,3,0.06,85.56
ἄφωνος,3,0.06,85.62
δῆλος,3,0.06,85.68
ἐνεργής,3,0.06,85.75
στερεός,3,0.06,85.81
εὔθετος,3,0.06,85.88
πρόδηλος,3,0.06,85.94
ἀμίαντος,3,0.06,86.0
φοβερός,3,0.06,86.07
συγκληρόνομος,3,0.06,86.13
παρεπίδημος,3,0.06,86.2
ἔντρομος,3,0.06,86.26
ὑπήκοος,3,0.06,86.33
πλάνος,3,0.06,86.39
σπουδαῖος,3,0.06,86.45
βραδύς,3,0.06,86.52
ἄσπιλος,3,0.06,86.58
οἰκτίρμων,3,0.06,86.65
ἀκέραιος,3,0.06,86.71
μόνον,3,0.06,86.78
ὀκνηρός,3,0.06,86.84
εὔχρηστος,3,0.06,86.9
συναιχμάλωτος,3,0.06,86.97
βαθύς,3,0.06,87.03
ἀρεστός,3,0.06,87.1
ἀποσυνάγωγος,3,0.06,87.16
οἰκεῖος,3,0.06,87.22
ἐπίτροπος,3,0.06,87.29
βλάσφημος,3,0.06,87.35
ἀσεβής,3,0.06,87.42
ἀνεπίληπτος,3,0.06,87.48
νηφάλιος,3,0.06,87.55
τετράπους,3,0.06,87.61
σκοτεινός,3,0.06,87.67
στενός,3,0.06,87.74
σιτευτός,3,0.06,87.8
Κύπριος,3,0.06,87.87
πνικτός,3,0.06,87.93
Ἑβραίς,3,0.06,87.99
πατρῷος,3,0.06,88.06
πραΰς,3,0.06,88.12
ἐθνικός,3,0.06,88.19
ἐξώτερος,3,0.06,88.25
δερμάτινος,2,0.04,88.29
ἄγριος,2,0.04,88.34
ἄγναφος,2,0.04,88.38
Καναναῖος,2,0.04,88.42
αὐτόματος,2,0.04,88.47
εὔκαιρος,2,0.04,88.51
πεζός,2,0.04,88.55
ἄνιπτος,2,0.04,88.59
Ἑλληνίς,2,0.04,88.64
νῆστις,2,0.04,88.68
ἔκφοβος,2,0.04,88.72
ὀνικός,2,0.04,88.77
μονόφθαλμος,2,0.04,88.81
ἑκατονταπλασίων,2,0.04,88.85
ἁπαλός,2,0.04,88.89
πιστικός,2,0.04,88.94
ἀκάνθινος,2,0.04,88.98
κυριακός,2,0.04,89.02
πρωϊνός,2,0.04,89.06
ταλαίπωρος,2,0.04,89.11
ἐλεεινός,2,0.04,89.15
πυρρός,2,0.04,89.19
ξύλινος,2,0.04,89.24
πλατύς,2,0.04,89.28
ῥυπαρός,2,0.04,89.32
λοίδορος,2,0.04,89.36
ἀμέριμνος,2,0.04,89.41
σύμφορος,2,0.04,89.45
ἑκών,2,0.04,89.49
ἔννομος,2,0.04,89.54
ἀκατακάλυπτος,2,0.04,89.58
ἥσσων,2,0.04,89.62
ἄδηλος,2,0.04,89.66
ἔνδικος,2,0.04,89.71
ἐλεήμων,2,0.04,89.75
νωθρός,2,0.04,89.79
ἀμετάθετος,2,0.04,89.84
ἐσώτερος,2,0.04,89.88
ἀνωφελής,2,0.04,89.92
παντελής,2,0.04,89.96
ἄκακος,2,0.04,90.01
ἵλαος,2,0.04,90.05
κοσμικός,2,0.04,90.09
ἀνώτερος,2,0.04,90.13
ὑπεναντίος,2,0.04,90.18
ἀστεῖος,2,0.04,90.22
ἐρυθρός,2,0.04,90.26
εἰρηνικός,2,0.04,90.31
ὀρθός,2,0.04,90.35
ἀσάλευτος,2,0.04,90.39
ὀστράκινος,2,0.04,90.43
ἐλαφρός,2,0.04,90.48
Κορίνθιος,2,0.04,90.52
ἀμεταμέλητος,2,0.04,90.56
αὐθαίρετος,2,0.04,90.61
ἄμετρος,2,0.04,90.65
ὁλόκληρος,2,0.04,90.69
δίψυχος,2,0.04,90.73
ἀκατάστατος,2,0.04,90.78
ὀρφανός,2,0.04,90.82
πικρός,2,0.04,90.86
ὁμοιοπαθής,2,0.04,90.91
σύμμορφος,2,0.04,90.95
κρίθινος,2,0.04,90.99
ἀκρογωνιαῖος,2,0.04,91.03
συμμέτοχος,2,0.04,91.08
ἀνεξιχνίαστος,2,0.04,91.12
ἀνθρωπάρεσκος,2,0.04,91.16
σωτήριος,2,0.04,91.2
ἐπικατάρατος,2,0.04,91.25
ἀδιάλειπτος,2,0.04,91.29
ἤπιος,2,0.04,91.33
διδακτικός,2,0.04,91.38
χαλεπός,2,0.04,91.42
φιλάργυρος,2,0.04,91.46
ἀχάριστος,2,0.04,91.5
ἀνόσιος,2,0.04,91.55
ἄστοργος,2,0.04,91.59
προπετής,2,0.04,91.63
ἡσύχιος,2,0.04,91.68
ἀποδεκτός,2,0.04,91.72
κόσμιος,2,0.04,91.76
φιλόξενος,2,0.04,91.8
πάροινος,2,0.04,91.85
ἄμαχος,2,0.04,91.89
αἰσχροκερδής,2,0.04,91.93
σωματικός,2,0.04,91.98
περίεργος,2,0.04,92.02
ἔκδικος,2,0.04,92.06
αἰφνίδιος,2,0.04,92.1
λογικός,2,0.04,92.15
βασίλειος,2,0.04,92.19
κακοποιός,2,0.04,92.23
ἀναπολόγητος,2,0.04,92.27
φυσικός,2,0.04,92.32
ἐμφανής,2,0.04,92.36
ἐπίσημος,2,0.04,92.4
τραχύς,2,0.04,92.45
γεννητός,2,0.04,92.49
ἐπιούσιος,2,0.04,92.53
ἄνυδρος,2,0.04,92.57
ἁπλόος,2,0.04,92.62
ἀνάπηρος,2,0.04,92.66
μίσθιος,2,0.04,92.7
ἀχρεῖος,2,0.04,92.75
πολλαπλασίων,2,0.04,92.79
αὐστηρός,2,0.04,92.83
ἄτεκνος,2,0.04,92.87
σκυθρωπός,2,0.04,92.92
τεσσαρακονταετής,2,0.04,92.96
εὐσεβής,2,0.04,93.0
Γαλατικός,2,0.04,93.05
ἀκατάκριτος,2,0.04,93.09
ἀγοραῖος,2,0.04,93.13
Ἄρειος,2,0.04,93.17
Ἀθηναῖος,2,0.04,93.22
Ἀλεξανδρινός,2,0.04,93.26
ἀρκετός,2,0.04,93.3
ἀναίτιος,2,0.04,93.34
ἀθῷος,2,0.04,93.39
ἔννυχος,1,0.02,93.41
παρόμοιος,1,0.02,93.43
μογιλάλος,1,0.02,93.45
ἄναλος,1,0.02,93.47
δύσκολος,1,0.02,93.49
ἀπόδημος,1,0.02,93.52
θανάσιμος,1,0.02,93.54
ποδήρης,1,0.02,93.56
κεραμικός,1,0.02,93.58
χλιαρός,1,0.02,93.6
σμαράγδινος,1,0.02,93.62
τρίχινος,1,0.02,93.64
Ἑλληνικός,1,0.02,93.67
ἱππικός,1,0.02,93.69
πύρινος,1,0.02,93.71
ὑακίνθινος,1,0.02,93.73
θειώδης,1,0.02,93.75
χάλκεος,1,0.02,93.77
ποταμοφόρητος,1,0.02,93.79
ἄκρατος,1,0.02,93.82
ταλαντιαῖος,1,0.02,93.84
σιρικός,1,0.02,93.86
θύϊνος,1,0.02,93.88
ἐλεφάντινος,1,0.02,93.9
λιπαρός,1,0.02,93.92
μουσικός,1,0.02,93.94
τετράγωνος,1,0.02,93.97
διαυγής,1,0.02,93.99
ἀγενής,1,0.02,94.01
πειθός,1,0.02,94.03
ἐπιθανάτιος,1,0.02,94.05
ἀνάξιος,1,0.02,94.07
σύμφωνος,1,0.02,94.09
εὐπάρεδρος,1,0.02,94.12
ὑπέρακμος,1,0.02,94.14
ἀέκων,1,0.02,94.16
ἀδάπανος,1,0.02,94.18
ἱερόθυτος,1,0.02,94.2
φιλόνικος,1,0.02,94.22
ἀσχήμων,1,0.02,94.24
ἄψυχος,1,0.02,94.26
εὔσημος,1,0.02,94.29
ἑτερόγλωσσος,1,0.02,94.31
πτηνός,1,0.02,94.33
ἄτομος,1,0.02,94.35
ἀμετακίνητος,1,0.02,94.37
λειτουργικός,1,0.02,94.39
τομός,1,0.02,94.41
κριτικός,1,0.02,94.44
ἀφανής,1,0.02,94.46
δυσερμήνευτος,1,0.02,94.48
ἄπειρος,1,0.02,94.5
πρόδρομος,1,0.02,94.52
ἀπάτωρ,1,0.02,94.54
ἀμήτωρ,1,0.02,94.56
ἀγενεαλόγητος,1,0.02,94.59
Λευιτικός,1,0.02,94.61
κατάδηλος,1,0.02,94.63
ἀκατάλυτος,1,0.02,94.65
ἀπαράβατος,1,0.02,94.67
ἀντίτυπος,1,0.02,94.69
πρόσφατος,1,0.02,94.71
ἀκλινής,1,0.02,94.74
ἀναρίθμητος,1,0.02,94.76
τρίμηνος,1,0.02,94.78
αἴγειος,1,0.02,94.8
εὐπερίστατος,1,0.02,94.82
νόθος,1,0.02,94.84
συστατικός,1,0.02,94.86
ἀπαρασκεύαστος,1,0.02,94.89
ἱλαρός,1,0.02,94.91
ἀνεκδιήγητος,1,0.02,94.93
ἀβαρής,1,0.02,94.95
δόλιος,1,0.02,94.97
Δαμασκηνός,1,0.02,94.99
ἄρρητος,1,0.02,95.01
πάνουργος,1,0.02,95.04
ἀπείραστος,1,0.02,95.06
ἔμφυτος,1,0.02,95.08
θρῆσκος,1,0.02,95.1
χρυσοδακτύλιος,1,0.02,95.12
ἀνέλεος,1,0.02,95.14
ἐφήμερος,1,0.02,95.16
ἐπιτήδειος,1,0.02,95.19
ἐνάλιος,1,0.02,95.21
θανατηφόρος,1,0.02,95.23
ἁλυκός,1,0.02,95.25
ἐπιστήμων,1,0.02,95.27
δαιμονιώδης,1,0.02,95.29
εὐπειθής,1,0.02,95.31
ἀδιάκριτος,1,0.02,95.33
σητόβρωτος,1,0.02,95.36
πρώϊμος,1,0.02,95.38
ὄψιμος,1,0.02,95.4
πολύσπλαγχνος,1,0.02,95.42
εἰλικρινής,1,0.02,95.44
σύμψυχος,1,0.02,95.46
καταχθόνιος,1,0.02,95.48
ἰσόψυχος,1,0.02,95.51
παραπλήσιος,1,0.02,95.53
ἄλυπος,1,0.02,95.55
ὀκταήμερος,1,0.02,95.57
ἐπιπόθητος,1,0.02,95.59
σύζυγος,1,0.02,95.61
προσφιλής,1,0.02,95.63
εὔφημος,1,0.02,95.66
αὐτάρκης,1,0.02,95.68
ἄχρηστος,1,0.02,95.7
ἑκούσιος,1,0.02,95.72
τετράμηνος,1,0.02,95.74
προβατικός,1,0.02,95.76
ἐπάρατος,1,0.02,95.78
ἀναμάρτητος,1,0.02,95.81
ἀνθρωποκτόνος,1,0.02,95.83
θεοσεβής,1,0.02,95.85
τεταρταῖος,1,0.02,95.87
λιθόστρωτος,1,0.02,95.89
ἄραφος,1,0.02,95.91
ὑφαντός,1,0.02,95.93
ἄθεος,1,0.02,95.96
σύσσωμος,1,0.02,95.98
πολυποίκιλος,1,0.02,96.0
κατώτερος,1,0.02,96.02
πρότερος,1,0.02,96.04
εὔσπλαγχνος,1,0.02,96.06
ἄσοφος,1,0.02,96.08
μακροχρόνιος,1,0.02,96.11
πατρικός,1,0.02,96.13
παρείσακτος,1,0.02,96.15
κενόδοξος,1,0.02,96.17
ὁρατός,1,0.02,96.19
εὐχάριστος,1,0.02,96.21
χρήσιμος,1,0.02,96.23
ἀνεπαίσχυντος,1,0.02,96.26
νεωτερικός,1,0.02,96.28
ἀπαίδευτος,1,0.02,96.3
ἀνεξίκακος,1,0.02,96.32
φίλαυτος,1,0.02,96.34
ἄσπονδος,1,0.02,96.36
ἀκρατής,1,0.02,96.38
ἀνήμερος,1,0.02,96.4
ἀφιλάγαθος,1,0.02,96.43
φιλήδονος,1,0.02,96.45
φιλόθεος,1,0.02,96.47
ἔκδηλος,1,0.02,96.49
θεόπνευστος,1,0.02,96.51
ἄρτιος,1,0.02,96.53
ἀπέραντος,1,0.02,96.55
ἀνδροφόνος,1,0.02,96.58
ἐπίορκος,1,0.02,96.6
ἤρεμος,1,0.02,96.62
ἀφιλάργυρος,1,0.02,96.64
νεόφυτος,1,0.02,96.66
δίλογος,1,0.02,96.68
ὕστερος,1,0.02,96.7
ψευδολόγος,1,0.02,96.73
ἀπόβλητος,1,0.02,96.75
γραώδης,1,0.02,96.77
ἔκγονος,1,0.02,96.79
φλύαρος,1,0.02,96.81
βλαβερός,1,0.02,96.83
ἀπρόσιτος,1,0.02,96.85
εὐμετάδοτος,1,0.02,96.88
κοινωνικός,1,0.02,96.9
ψευδώνυμος,1,0.02,96.92
θεοδίδακτος,1,0.02,96.94
ἄτακτος,1,0.02,96.96
ὀλιγόψυχος,1,0.02,96.98
ὁλοτελής,1,0.02,97.0
ἀμάραντος,1,0.02,97.03
ἀνεκλάλητος,1,0.02,97.05
πατροπαράδοτος,1,0.02,97.07
ἀρτιγέννητος,1,0.02,97.09
ἄδολος,1,0.02,97.11
ἀγαθοποιός,1,0.02,97.13
πρᾶος,1,0.02,97.15
ἀδΐος,1,0.02,97.18
θεοσυτγής,1,0.02,97.2
ἀσύνθετος,1,0.02,97.22
ἀνελεήμων,1,0.02,97.24
ἀμετανόητος,1,0.02,97.26
γραπτός,1,0.02,97.28
ὑπόδικος,1,0.02,97.3
ἑκατονταετής,1,0.02,97.33
σύμφυτος,1,0.02,97.35
ὕπανδρος,1,0.02,97.37
ἀλάλητος,1,0.02,97.39
ἀνεξεραύνητος,1,0.02,97.41
φιλόστοργος,1,0.02,97.43
προφητικός,1,0.02,97.45
ἀψευδής,1,0.02,97.47
αὐθάδης,1,0.02,97.5
ὀργίλος,1,0.02,97.52
φιλάγαθος,1,0.02,97.54
ἐγκρατής,1,0.02,97.56
ματαιολόγος,1,0.02,97.58
Ἰουδαικός,1,0.02,97.6
βδελυκτός,1,0.02,97.62
φίλανδρος,1,0.02,97.65
φιλότεκνος,1,0.02,97.67
οἰκουργός,1,0.02,97.69
ἱεροπρεπής,1,0.02,97.71
καλοδιδάσκαλος,1,0.02,97.73
ἀκατάγνωστος,1,0.02,97.75
περιούσιος,1,0.02,97.77
στυγητός,1,0.02,97.8
αἱρετικός,1,0.02,97.82
αὐτοκατάκριτος,1,0.02,97.84
περίοικος,1,0.02,97.86
ἔγκυος,1,0.02,97.88
Ἰτουραῖος,1,0.02,97.9
Τραχωνῖται,1,0.02,97.92
λεῖος,1,0.02,97.95
αἰχμάλωτος,1,0.02,97.97
παράδοξος,1,0.02,97.99
δευτερόπρωτος,1,0.02,98.01
πεδινός,1,0.02,98.03
παράλιος,1,0.02,98.05
ἡμιθανής,1,0.02,98.07
δυσβάστακτος,1,0.02,98.1
ἀνέκλειπτος,1,0.02,98.12
ὑδρωπικός,1,0.02,98.14
ἀνένδεκτος,1,0.02,98.16
μυλικός,1,0.02,98.18
συκάμινος,1,0.02,98.2
ἀλλογενής,1,0.02,98.22
ἐγκάθετος,1,0.02,98.25
ἰσάγγελος,1,0.02,98.27
πενιχρός,1,0.02,98.29
ὑγρός,1,0.02,98.31
λαξευτός,1,0.02,98.33
ὀρθρινός,1,0.02,98.35
ἄφαντος,1,0.02,98.37
βρώσιμος,1,0.02,98.4
ὀπτός,1,0.02,98.42
πρηνής,1,0.02,98.44
βίαιος,1,0.02,98.46
μεγαλεῖος,1,0.02,98.48
ἔκδοτος,1,0.02,98.5
ἔκθαμβος,1,0.02,98.52
ἀρχιερατικός,1,0.02,98.54
ἀγράμματος,1,0.02,98.57
ἐνδεής,1,0.02,98.59
δημόσιος,1,0.02,98.61
θεομάχος,1,0.02,98.63
καθημερινός,1,0.02,98.65
Χαλδαῖος,1,0.02,98.67
ἔκθετος,1,0.02,98.69
σκληροτράχηλος,1,0.02,98.72
ἀπερίτμητος,1,0.02,98.74
ἐνεός,1,0.02,98.76
Ἰταλικός,1,0.02,98.78
πρόσπεινος,1,0.02,98.8
ἀθέμιτος,1,0.02,98.82
ἀλλόφυλος,1,0.02,98.84
Τύριος,1,0.02,98.87
Σιδώνιος,1,0.02,98.89
τακτός,1,0.02,98.91
σκωληκόβρωτος,1,0.02,98.93
σύντροφος,1,0.02,98.95
Πισίδιος,1,0.02,98.97
ἀμάρτυρος,1,0.02,98.99
καρποφόρος,1,0.02,99.02
κατάλοιπος,1,0.02,99.04
ἔξυπνος,1,0.02,99.06
κατείδωλος,1,0.02,99.08
Ἐπικούρειος,1,0.02,99.1
Στοϊκός,1,0.02,99.12
σπερμολόγος,1,0.02,99.14
δεισιδαίμων,1,0.02,99.17
ἄγνωστος,1,0.02,99.19
Ποντικός,1,0.02,99.21
ὁμότεχνος,1,0.02,99.23
λόγιος,1,0.02,99.25
ἀνωτερικός,1,0.02,99.27
νεωκόρος,1,0.02,99.29
Διοπετής,1,0.02,99.32
ἀναντίρρητος,1,0.02,99.34
ἱερόσυλος,1,0.02,99.36
Βεροιαῖος,1,0.02,99.38
Δερβαῖος,1,0.02,99.4
Ἀσιανός,1,0.02,99.42
ἐντόπιος,1,0.02,99.44
ἄσημος,1,0.02,99.47
ἐπάρχειος,1,0.02,99.49
ἄλογος,1,0.02,99.51
ἀκριβής,1,0.02,99.53
παθητός,1,0.02,99.55
σεβαστός,1,0.02,99.57
Ἀδραμυττηνός,1,0.02,99.59
ἐπισφαλής,1,0.02,99.61
ἀνεύθετος,1,0.02,99.64
τυφωνικός,1,0.02,99.66
περικρατής,1,0.02,99.68
αὐτόχειρ,1,0.02,99.7
ἄσιτος,1,0.02,99.72
εὔθυμος,1,0.02,99.74
διθάλασσος,1,0.02,99.76
παράσημος,1,0.02,99.79
δευτεραῖος,1,0.02,99.81
ἀσύμφωνος,1,0.02,99.83
διετής,1,0.02,99.85
παραθαλάσσιος,1,0.02,99.87
εἰρηνοποιός,1,0.02,99.89
εὐρύχωρος,1,0.02,99.91
Γαδαρηνός,1,0.02,99.94
Χαναναῖος,1,0.02,99.96
θαυμάσιος,1,0.02,99.98
σιτιστός,1,0.02,100.0
